n,density,avg_time
20,0.2,0.0000150966
20,0.3,0.0000158737
20,0.4,0.0000183325
20,0.5,0.0000207987
20,0.6,0.0000224550
20,0.7,0.0000249904
20,0.8,0.0000272204
20,0.9,0.0000343929
40,0.2,0.0000391257
40,0.3,0.0000503350
40,0.4,0.0000596140
40,0.5,0.0000697862
40,0.6,0.0000778115
40,0.7,0.0000905778
40,0.8,0.0001054274
40,0.9,0.0001176553
60,0.2,0.0000795504
60,0.3,0.0001025091
60,0.4,0.0001268283
60,0.5,0.0001573817
60,0.6,0.0001751912
60,0.7,0.0001956520
60,0.8,0.0002290816
60,0.9,0.0002596804
80,0.2,0.0001318041
80,0.3,0.0002007350
80,0.4,0.0002277433
80,0.5,0.0002884425
80,0.6,0.0003406721
80,0.7,0.0003627975
80,0.8,0.0004104833
80,0.9,0.0004617911
100,0.2,0.0002027499
100,0.3,0.0002987615
100,0.4,0.0003662654
100,0.5,0.0004156458
100,0.6,0.0005045600
100,0.7,0.0006146213
100,0.8,0.0008362621
100,0.9,0.0008443984
120,0.2,0.0002745533
120,0.3,0.0003883491
120,0.4,0.0004808796
120,0.5,0.0007003242
120,0.6,0.0008707508
120,0.7,0.0009182045
120,0.8,0.0012301583
120,0.9,0.0013297333
140,0.2,0.0003847067
140,0.3,0.0005009391
140,0.4,0.0007822055
140,0.5,0.0010094146
140,0.6,0.0012651425
140,0.7,0.0013738670
140,0.8,0.0014405870
140,0.9,0.0018582896
160,0.2,0.0004865183
160,0.3,0.0006935283
160,0.4,0.0009576004
160,0.5,0.0013258429
160,0.6,0.0017602958
160,0.7,0.0018926271
160,0.8,0.0021603208
160,0.9,0.0024012012
180,0.2,0.0006501041
180,0.3,0.0010068151
180,0.4,0.0011880554
180,0.5,0.0015205225
180,0.6,0.0017228787
180,0.7,0.0023054108
180,0.8,0.0022949675
180,0.9,0.0025376353
200,0.2,0.0008357978
200,0.3,0.0011373024
200,0.4,0.0015281779
200,0.5,0.0017919191
200,0.6,0.0021094412
200,0.7,0.0025091138
200,0.8,0.0027713833
200,0.9,0.0032734042
